Matematická analýza II [NMAF052, cvičení]	42/114/115	1,48:0,77	-
Matematická analýza II [NMAI055, cvičení]	36/178/179	1,75:0,73	-
Matematická analýza II [NMUM102, cvičení]	8/49/53	1,63:0,74	-
Matematická analýza II [NMAF052, přednáška]	32/114/115	1,78:0,91	-
Matematická analýza II [NMAI055, přednáška]	36/178/179	2,06:1,07	-
Matematická analýza II [NMUM102, přednáška]	8/49/53	1,63:0,74	-
Matematická analýza IV [NMUM202, cvičení]	11/42/42	2,18:1,25	-
Matematická analýza IV [NMUM202, přednáška]	10/42/42	1,90:1,10	-
Matematická analýza 2 [NMMA102, cvičení]	31/103/103	1,42:0,76	-
 	Počet	Předmět	Vyučující
Matematická analýza 2 [NMMA102, přednáška]	32/103/103	1,28:0,52	-
Matematická analýza 4 [NMMA202, cvičení]	20/73/73	1,15:0,49	-
Matematická analýza 4 [NMMA202, přednáška]	20/73/73	1,15:0,49	-
Matematická statistika 2 [NMSA332, cvičení]	10/32/32	1,20:0,63	-
Matematická statistika 2 [NMSA332, přednáška]	5/32/32	2,20:1,30	-
Matematický proseminář II [NMUM162, cvičení]	12/46/46	1,42:0,67	-
Matematika neživotního pojištění 2 [NMFM402, cvičení]	05/13/13	2,20:0,84	-
Matematika neživotního pojištění 2 [NMFM402, přednáška]	05/13/13	1,60:0,55	-
Matematika pro fyziky II [NMAF062, cvičení]	23/79/79	1,26:0,62	-
Matematika pro fyziky II [NMAF062, přednáška]	17/79/79	1,41:0,71	-
Matematika 2 [NMMA702, cvičení]	8/81/81	2,00:1,07	-
Metodika programování a filozofie programovacích jazyků [NPRG003, přednáška]	6/51/51	2,50:1,22	-
Molekulová fyzika [NUFY083, cvičení]	05/11/11	1,40:0,89	-
Molekulová fyzika [NUFY119, přednáška]	05/16/16	1,40:0,89	-
Multiagentní systémy [NAIL106, cvičení]	8/44/45	1,63:0,92	-
Multiagentní systémy [NAIL106, přednáška]	8/44/45	1,13:0,35	-
Náhodné procesy 1 [NMSA334, cvičení]	9/33/33	1,00:0,00	-
Náhodné procesy 1 [NMSA334, přednáška]	8/33/33	1,63:0,74	-
Návrhové vzory [NPRG024, cvičení]	10/39/39	1,20:0,42	-
 	Počet	Předmět	Vyučující
Neprocedurální programování [NPRG005, cvičení]	22/133/133	1,55:0,80	-
Obecná teorie relativity [NTMF111, přednáška]	12/43/43	1,17:0,39	-
Pedagogicko-didaktická propedeutika matematiky [NMUM312, cvičení]	9/35/35	3,22:1,48	-
Pedagogicko-didaktická propedeutika matematiky [NMUM312, přednáška]	9/35/35	3,22:1,48	-
Počítačová algebra [NMMB204, přednáška]	05/11/11	1,20:0,45	-
Počítačové sítě [NSWI090, přednáška]	6/58/59	2,00:1,55	-
Pokročilé nástroje pro vývoj a monitorování software [NSWI126, cvičení]	05/25/25	1,40:0,89	-
Pokročilé programování na platformě Java [NPRG021, cvičení]	8/50/50	1,75:0,89	-
Pokročilé programování na platformě Java [NPRG021, přednáška]	7/50/50	2,00:1,00	-
Pokročilé programování pro .NET I [NPRG038, cvičení]	16/103/103	1,44:0,73	-
Pokročilé programování pro .NET I [NPRG038, přednáška]	13/103/103	1,23:0,44	-
Použití počítačů ve fyzice [NJSF036, cvičení]	13/90/45	2,15:1,28	-
Praktikum z pocitacovych systemu [NSWI173, cvičení]	6/36/18	2,00:1,26	-
Praktikum z vývoje počítačových her [NSWI159, cvičení]	06/24/26	1,17:0,41	-
Pravděpodobnost a matematická statistika [NMSA202, cvičení]	20/77/77	1,65:0,99	-
