Administrace Linuxu [NSWI106, cvičení]	08/22/22	1,13:0,35	-
Administrace Linuxu [NSWI106, přednáška]	08/22/22	1,25:0,46	-
Aktuárský seminář 1 [NMFM501, cvičení]	06/20/20	1,67:0,82	-
Algebra [NMTM501, přednáška]	05/26/26	3,00:1,87	-
Algebra 1 [NMAI062, cvičení]	05/28/28	1,80:0,84	-
Algebra 1 [NMAI062, přednáška]	05/28/28	1,60:0,55	-
Algebraické kolokvium [NMAG581, cvičení]	6/52/27	1,00:0,00	-
Algoritmická teorie her [NDMI098, cvičení]	8/43/43	1,38:0,52	-
Algoritmická teorie her [NDMI098, přednáška]	11/43/43	1,45:0,69	-
Algoritmizace [NPRG062, cvičení]	111/453/434	1,57:0,77	-
Algoritmizace [NPRG062, přednáška]	107/432/434	1,61:0,77	-
Algoritmy a datové struktury 2 [NTIN061, cvičení]	50/184/184	1,50:0,89	-
Algoritmy a datové struktury 2 [NTIN061, přednáška]	50/184/184	1,40:0,90	-
Algoritmy komprese dat [NSWI072, přednáška]	6/42/42	1,83:0,75	-
Analýza maticových výpočtů 1 [NMNM331, cvičení]	07/21/21	1,00:0,00	-
Analýza maticových výpočtů 1 [NMNM331, přednáška]	07/21/21	1,00:0,00	-
Anglický jazyk pro mírně pokročilé I [NJAZ071, cvičení]	10/35/35	1,60:0,70	-
Anglický jazyk pro pokročilé doktorandy I [NJAZ092, cvičení]	5/33/33	1,40:0,89	-
Anglický jazyk pro pokročilé I [NJAZ170, cvičení]	97/243/243	1,76:0,81	-
 	Počet	Předmět	Vyučující
Anglický jazyk pro pokročilé III [NJAZ174, cvičení]	39/128/128	1,79:0,89	-
Anglický jazyk pro středně pokročilé I [NJAZ070, cvičení]	77/243/244	1,78:0,85	-
Anglický jazyk pro středně pokročilé III [NJAZ074, cvičení]	42/128/128	1,57:0,70	-
Architektury softwarových systémů [NSWI130, cvičení]	12/54/54	1,50:0,67	-
Architektury softwarových systémů [NSWI130, přednáška]	12/54/54	1,50:0,67	-
Aritmetika a algebra I [NMTM105, přednáška]	7/56/56	1,43:0,79	-
Astrofyzika pro fyziky [NAST023, přednáška]	08/30/30	1,75:1,16	-
Astronomie a astrofyzika [NFUF501, přednáška]	05/13/13	1,40:0,89	-
Automaty a výpočetní složitost [NMMB415, přednáška]	07/18/18	1,43:0,53	-
Bakalářský seminář z matematiky I [NMTM331, cvičení]	06/21/21	1,17:0,41	-
Časové řady [NMST537, cvičení]	06/21/21	2,33:1,03	-
Časové řady [NMST537, přednáška]	06/21/21	1,33:0,52	-
Český jazyk pro začátečníky I [NJAZ097, cvičení]	18/55/55	1,39:0,78	-
Data na Webu [NSWI144, cvičení]	05/19/19	1,40:0,55	-
Data na Webu [NSWI144, přednáška]	05/19/19	1,40:0,55	-
Databázové přístupové metody [NDBI007, cvičení]	05/19/19	1,40:0,55	-
Databázové přístupové metody [NDBI007, přednáška]	05/19/19	1,80:0,84	-
Databázové systémy [NDBI025, cvičení]	43/166/166	1,81:1,10	-
Databázové systémy [NDBI025, přednáška]	39/166/166	1,95:0,92	-
 	Počet	Předmět	Vyučující
Datové struktury 1 [NTIN066, cvičení]	17/108/108	1,53:0,80	-
Datové struktury 1 [NTIN066, přednáška]	16/108/108	1,56:0,89	-
Deskriptivní teorie množin 1 [NMMA433, přednáška]	05/11/11	1,40:0,89	-
Didaktika fyziky II [NFUF502, cvičení]	6/54/27	1,33:0,52	-
Diskrétní matematika [NDMI002, cvičení]	104/383/383	1,66:0,89	-
Diskrétní matematika [NMIN105, cvičení]	47/167/167	1,94:0,94	-
Diskrétní matematika [NDMI002, přednáška]	104/383/383	1,40:0,66	-
Diskrétní matematika [NMIN105, přednáška]	44/167/167	2,05:0,94	-
Doktorský seminář kvantové optiky a optoelektroniky [NOOE100, cvičení]	5/50/27	1,80:0,84	-
Evoluční algoritmy 1 [NAIL025, cvičení]	7/64/64	1,29:0,76	-
Evoluční algoritmy 1 [NAIL025, přednáška]	9/64/64	1,22:0,67	-
Filozofické problémy fyziky [NPOZ007, cvičení]	47/190/190	1,64:0,87	-
Finanční matematika [NMTM207, cvičení]	7/42/42	2,71:1,38	-
Firemní semináře [NSWI133, cvičení]	07/19/19	1,00:0,00	-
Francouzský jazyk pro začátečníky I [NJAZ043, cvičení]	05/15/15	1,80:1,30	-
Fyzika v experimentech I [NOFY067, cvičení]	28/202/101	1,32:0,55	-
Geometrie I [NMTM203, cvičení]	5/35/35	1,40:0,89	-
Geometrie I [NMTM203, přednáška]	5/35/35	1,40:0,89	-
Geometrie 1 [NMAG211, cvičení]	34/93/93	1,76:0,78	-
 	Počet	Předmět	Vyučující
Geometrie 1 [NMAG211, přednáška]	33/93/93	1,94:0,90	-
Hluboké zpětnovazební učení [NPFL122, cvičení]	10/86/86	1,40:0,84	-
Hluboké zpětnovazební učení [NPFL122, přednáška]	12/86/86	1,25:0,45	-
Jaderná a částicová fyzika [NOFY029, cvičení]	14/59/59	1,21:0,43	-
Jaderná a částicová fyzika [NOFY029, přednáška]	9/59/59	2,00:0,87	-
Kalkulus 2 [NMMA221, cvičení]	10/29/29	2,00:1,25	-
Kalkulus 2 [NMMA221, přednáška]	09/29/29	2,33:1,41	-
Kombinatorika a grafy 1 [NDMI011, cvičení]	52/185/185	1,77:1,10	-
Kombinatorika a grafy 1 [NDMI011, přednáška]	47/185/185	1,57:0,93	-
Koncepty moderních programovacích jazyků [NPRG014, cvičení]	10/72/36	1,50:0,85	-
Konvexní optimalizace [NMMB409, přednáška]	05/09/09	1,00:0,00	-
Kvantová teorie I [NOFY075, cvičení]	05/23/26	1,60:0,89	-
Kvantová teorie I [NOFY076, cvičení]	8/45/45	1,38:0,52	-
Kvantová teorie I [NOFY076, přednáška]	8/45/45	1,50:0,76	-
Kvantová teorie pole I [NJSF068, cvičení]	6/34/34	1,67:0,52	-
Kvantová teorie pole I [NJSF068, přednáška]	6/34/34	1,33:0,52	-
Lineární algebra I [NMTM103, cvičení]	10/52/52	1,00:0,00	-
Lineární algebra I [NOFY141, cvičení]	63/182/182	1,46:0,71	-
Lineární algebra I [NMTM103, přednáška]	8/52/52	1,50:0,53	-
 	Počet	Předmět	Vyučující
Lineární algebra I [NOFY141, přednáška]	64/182/182	1,61:0,70	-
Lineární algebra 1 [NMAG111, cvičení]	79/261/261	1,59:0,79	-
Lineární algebra 1 [NMAI057, cvičení]	108/463/432	1,54:0,74	-
Lineární algebra 1 [NMAG111, přednáška]	86/261/261	1,22:0,49	-
Lineární algebra 1 [NMAI057, přednáška]	106/431/432	1,73:0,74	-
Lineární regrese [NMSA407, cvičení]	14/43/43	2,14:1,10	-
Lineární regrese [NMSA407, přednáška]	14/43/43	1,79:0,89	-
Matematická analýza I [NMTM101, cvičení]	25/119/119	1,68:1,03	-
Matematická analýza I [NOFY151, cvičení]	72/217/217	1,79:0,82	-
Matematická analýza I [NMTM101, přednáška]	25/119/119	1,44:0,65	-
Matematická analýza I [NOFY151, přednáška]	71/216/217	2,39:1,11	-
Matematická analýza III [NMTM201, cvičení]	6/39/39	1,17:0,41	-
Matematická analýza III [NMTM201, přednáška]	7/39/39	1,00:0,00	-
Matematická analýza 1 [NMMA101, cvičení]	48/171/171	1,60:0,79	-
Matematická analýza 1 [NMMA101, přednáška]	42/171/171	2,00:0,77	-
Matematická analýza 2 [NMAI055, cvičení]	22/123/123	1,45:0,74	-
Matematická analýza 2 [NMAI055, přednáška]	23/123/123	1,57:0,73	-
Matematická analýza 3 [NMMA201, cvičení]	38/93/93	1,03:0,16	-
Matematická analýza 3 [NMMA201, přednáška]	37/93/93	1,08:0,28	-
 	Počet	Předmět	Vyučující
Matematická statistika 1 [NMSA331, cvičení]	12/39/40	1,58:0,67	-
Matematická statistika 1 [NMSA331, přednáška]	13/39/40	1,15:0,38	-
Matematické dovednosti [NMAI069, cvičení]	64/258/258	1,72:0,97	-
Matematické metody ve financích [NMFM207, cvičení]	7/34/34	1,57:0,79	-
Matematické metody ve financích [NMFM207, přednáška]	7/34/34	1,29:0,49	-
Matematické problémy nematematiků [NMAT100, cvičení]	58/212/212	1,34:0,61	-
Matematický proseminář I [NMTM161, cvičení]	64/192/192	1,94:0,85	-
Matematika pro fyziky I [NOFY161, cvičení]	18/100/100	1,94:0,94	-
Matematika pro fyziky I [NOFY161, přednáška]	19/100/100	2,00:0,88	-
Matematika ve financích [NMFM331, cvičení]	08/23/23	1,88:0,83	-
Matematika ve financích [NMFM331, přednáška]	08/23/23	1,75:0,71	-
Matematika ve financích a pojišťovnictví [NMFM205, přednáška]	8/35/35	1,50:0,53	-
Mathematica pro začátečníky [NMIN203, cvičení]	17/37/37	1,24:0,75	-
Mechanika a molekulová fyzika [NOFY021, cvičení]	72/211/211	1,57:0,80	-
Mechanika a molekulová fyzika [NOFY021, přednáška]	72/422/211	1,49:0,79	-
Měřící metody, modelování a zpracování experimentálních dat [NEVF503, přednáška]	05/24/13	1,00:0,00	-
Modely a verifikace chování systémů [NSWI101, cvičení]	6/36/36	2,00:0,89	-
Náhodné procesy 2 [NMSA409, cvičení]	15/44/44	1,07:0,26	-
Náhodné procesy 2 [NMSA409, přednáška]	10/43/44	1,80:1,03	-
 	Počet	Předmět	Vyučující
Nástroje pro vývoj software [NSWI154, cvičení]	13/40/40	2,15:0,99	-
Německý jazyk pro středně pokročilé I [NJAZ081, cvičení]	06/28/28	1,50:0,55	-
Oborový seminář [NMSA401, cvičení]	06/20/20	1,17:0,41	-
Odborné soustředění [NEVF550, cvičení]	6/60/42	1,17:0,41	-
Odborné soustředění ÚTF [NTMF100, cvičení]	11/110/55	1,00:0,00	-
Operační systémy [NSWI004, cvičení]	12/51/51	1,67:0,65	-
Operační systémy [NSWI004, přednáška]	11/51/51	1,55:0,69	-
Optika [NOFY022, cvičení]	24/99/99	1,58:0,72	-
Optika [NOFY022, přednáška]	19/198/99	1,58:0,69	-
Optika krok za krokem [NFUF813, cvičení]	05/20/10	1,20:0,45	-
Počítačové metody v teoretické fyzice I [NTMF057, cvičení]	05/24/24	1,80:1,30	-
Počítačové metody v teoretické fyzice I [NTMF057, přednáška]	05/24/24	1,80:1,30	-
Pojišťovací právo [NMFM305, přednáška]	08/31/31	2,00:0,93	-
Práce s počítačem a programování [NOFY087, cvičení]	17/117/39	2,41:0,87	-
Práce s počítačem a programování [NOFY087, přednáška]	17/78/39	2,41:0,80	-
Praktikum II - Elektřina a magnetismus [NFUF203, cvičení]	05/30/10	3,40:1,52	-
Praktikum řešení programátorských úloh [NPRG015, cvičení]	05/11/11	1,00:0,00	-
Pravděpodobnost [NMSA211, cvičení]	05/20/20	2,00:0,71	-
Pravděpodobnost [NMSA211, přednáška]	05/20/20	2,00:0,71	-
 	Počet	Předmět	Vyučující
Pravděpodobnost a statistika 2 [NMAI073, přednáška]	05/22/22	1,80:1,30	-
Principy distribuovaných systémů [NSWI035, přednáška]	11/63/63	1,82:0,87	-
Principy počítačů [NSWI120, přednáška]	102/382/382	1,79:1,06	-
Principy překladačů [NSWI098, cvičení]	11/46/46	2,64:1,63	-
Principy překladačů [NSWI098, přednáška]	11/46/46	2,09:0,83	-
Programování a zpracování dat v Pythonu [NOFY178, cvičení]	9/70/35	1,78:0,83	-
Programování a zpracování dat v Pythonu [NOFY178, přednáška]	9/70/35	1,67:0,71	-
Programování pro fyziky [NOFY056, cvičení]	26/100/101	1,42:0,76	-
Programování pro fyziky [NOFY056, přednáška]	24/100/101	1,96:1,00	-
Programování v C++ [NPRG041, cvičení]	36/152/152	1,89:1,04	-
Programování v C++ [NPRG041, přednáška]	30/282/152	2,07:0,83	-
Programování v Haskellu [NPRG068, přednáška]	09/20/20	1,22:0,44	-
Programování v jazyce C# [NPRG035, cvičení]	34/235/169	1,47:0,61	-
Programování v jazyce C# [NPRG035, přednáška]	31/169/169	1,32:0,70	-
Programování v jazyce Java [NPRG013, cvičení]	12/80/80	1,67:0,78	-
Programování v jazyce Java [NPRG013, přednáška]	11/79/80	1,82:0,75	-
Programování webových aplikací [NSWI142, cvičení]	21/89/90	1,33:0,73	-
Programování webových aplikací [NSWI142, přednáška]	19/89/90	1,74:0,87	-
Programování 1 [NMIN111, cvičení]	64/242/243	1,88:0,86	-
 	Počet	Předmět	Vyučující
Programování 1 [NPRG030, cvičení]	96/448/432	1,42:0,64	-
Programování 1 [NPRG030, přednáška]	100/429/432	2,00:0,98	-
Programování 3 [NMIN201, cvičení]	9/37/37	2,00:0,87	-
Programování 3 [NMIN201, přednáška]	9/37/37	2,00:0,87	-
Proseminář výuky fyziky I [NFUF305, cvičení]	06/22/11	1,00:0,00	-
Proseminář z jaderné a částicové fyziky [NJSF148, cvičení]	6/46/23	1,00:0,00	-
Proseminář z Matematické analýzy [NMMA161, cvičení]	19/69/69	2,26:1,15	-
Proseminář z matematických metod fyziky [NOFY002, cvičení]	53/272/136	1,92:0,92	-
Proseminář z optiky [NOFY010, cvičení]	9/70/35	2,44:1,01	-
Proseminář z teoretické mechaniky [NOFY069, cvičení]	15/64/64	1,00:0,00	-
Python pro praxi [NPRG067, cvičení]	6/51/17	1,67:1,03	-
Riemannova geometrie 1 [NMAG411, cvičení]	06/20/20	2,50:1,76	-
Riemannova geometrie 1 [NMAG411, přednáška]	08/20/20	2,13:1,36	-
Rovnice matematické fyziky [NOFY163, cvičení]	6/47/47	1,33:0,52	-
Rovnice matematické fyziky [NOFY163, přednáška]	7/47/47	1,29:0,49	-
Ruský jazyk pro začátečníky I [NJAZ039, cvičení]	06/15/15	1,00:0,00	-
Řešení problémů [NFUF802, cvičení]	6/32/16	1,00:0,00	-
Sémantika programů [NSWI162, cvičení]	06/23/23	1,67:0,82	-
Seminář ústavu teoretické fyziky [NTMF008, cvičení]	5/38/19	1,60:0,89	-
 	Počet	Předmět	Vyučující
Speciální teorie relativity [NOFY023, přednáška]	19/93/93	1,32:0,58	-
Statistika pro finanční matematiky [NMFM301, cvičení]	06/26/26	1,33:0,52	-
Statistika pro finanční matematiky [NMFM301, přednáška]	06/26/26	1,17:0,41	-
Stereometrie [NMTM205, cvičení]	5/34/34	1,20:0,45	-
Stereometrie [NMTM205, přednáška]	6/34/34	1,50:0,84	-
Španělský jazyk pro začátečníky I [NJAZ017, cvičení]	05/14/14	1,20:0,45	-
Teoretická mechanika [NFUF814, cvičení]	06/08/08	1,00:0,00	-
Teoretická mechanika [NOFY003, cvičení]	19/91/91	1,16:0,50	-
Teoretická mechanika [NFUF202, přednáška]	05/16/16	1,00:0,00	-
Teoretická mechanika [NOFY003, přednáška]	22/91/91	1,05:0,21	-
Teorie míry a integrálu 1 [NMMA205, cvičení]	31/86/86	2,03:0,98	-
Teorie míry a integrálu 1 [NMMA205, přednáška]	31/86/86	2,48:1,09	-
Teorie míry a integrálu 2 [NMMA343, přednáška]	16/45/45	1,50:0,89	-
Teorie optimalizace [NMSA403, cvičení]	6/35/36	1,67:0,82	-
Teorie optimalizace [NMSA403, přednáška]	8/35/36	2,00:1,07	-
Teorie pravděpodobnosti 1 [NMSA333, cvičení]	13/40/40	1,38:1,12	-
Teorie pravděpodobnosti 1 [NMSA333, přednáška]	13/40/40	1,62:0,87	-
Teorie pravděpodobnosti 2 [NMSA405, cvičení]	07/26/26	1,00:0,00	-
Teorie pravděpodobnosti 2 [NMSA405, přednáška]	06/26/26	1,67:0,82	-
 	Počet	Předmět	Vyučující
Teorie rizika [NMFM503, cvičení]	05/12/12	1,80:0,84	-
Termodynamika a statistická fyzika [NOFY031, cvičení]	13/40/40	2,15:1,21	-
Termodynamika a statistická fyzika [NOFY031, přednáška]	10/80/40	2,30:1,06	-
Účetnictví 1 [NMFM101, cvičení]	17/60/60	1,82:0,95	-
Účetnictví 1 [NMFM101, přednáška]	17/60/60	2,24:1,15	-
Umělá inteligence 1 [NAIL069, přednáška]	13/91/91	1,23:0,44	-
Universální algebra 1 [NMAG405, cvičení]	05/15/15	1,80:1,10	-
Universální algebra 1 [NMAG405, přednáška]	06/15/15	1,50:0,84	-
Úvod do komplexní analýzy [NMMA301, cvičení]	16/60/61	2,50:1,32	-
Úvod do komplexní analýzy [NMMA301, přednáška]	16/60/61	2,19:1,05	-
Úvod do komutativní algebry [NMAG305, cvičení]	05/28/28	1,40:0,55	-
Úvod do komutativní algebry [NMAG305, přednáška]	07/28/28	1,00:0,00	-
Úvod do kryptografie [NDMI100, přednáška]	6/44/44	1,33:0,82	-
Úvod do middleware [NSWI163, cvičení]	08/25/25	1,25:0,46	-
Úvod do numerické matematiky [NMNM211, cvičení]	9/32/32	2,33:1,22	-
Úvod do numerické matematiky [NMNM211, přednáška]	8/32/32	2,25:1,16	-
Úvod do parciálních diferenciálních rovnic [NMMA339, cvičení]	05/20/20	1,20:0,45	-
Úvod do parciálních diferenciálních rovnic [NMMA339, přednáška]	05/20/20	1,20:0,45	-
Úvod do počítačové lingvistiky [NPFL012, přednáška]	8/43/43	1,75:1,16	-
 	Počet	Předmět	Vyučující
Úvod do počítačových sítí [NSWI141, přednáška]	98/800/400	2,26:1,03	-
Úvod do pojišťovnictví [NMFM311, cvičení]	06/21/21	1,67:0,82	-
Úvod do pojišťovnictví [NMFM311, přednáška]	06/21/21	1,50:0,55	-
Úvod do praktické fyziky [NOFY055, cvičení]	56/178/179	2,04:1,06	-
Úvod do programování v R [NMSA230, cvičení]	8/33/33	2,00:0,93	-
Úvod do robotiky [NAIL028, cvičení]	9/53/53	3,22:1,48	-
Úvod do robotiky [NAIL028, přednáška]	8/53/53	3,00:1,60	-
Úvod do řešení problémů kombinatorických, mat. i jiných (IPS) I [NDMI050, cvičení]	37/230/116	1,27:0,61	-
Úvod do strojového učení v Pythonu [NPFL129, cvičení]	21/177/179	1,14:0,36	-
Úvod do strojového učení v Pythonu [NPFL129, přednáška]	25/178/179	1,12:0,33	-
Úvod do teorie grup [NMAG337, cvičení]	07/30/30	1,00:0,00	-
Úvod do teorie grup [NMAG337, přednáška]	08/30/30	1,13:0,35	-
Výpočetní prostředky finanční a pojistné matematiky [NMFM308, cvičení]	06/23/23	1,50:0,84	-
Výpočetní prostředky finanční a pojistné matematiky [NMFM308, přednáška]	06/23/23	2,50:1,22	-
Výroková a predikátová logika [NAIL062, cvičení]	44/179/180	1,84:1,08	-
Výroková a predikátová logika [NAIL062, přednáška]	33/179/180	2,42:1,20	-
Základy jazykových technologií [NPFL125, cvičení]	06/26/13	1,17:0,41	-
Základy kombinatorické a výpočetní geometrie [NDMI009, přednáška]	5/44/24	2,60:1,34	-
Základy numerické lineární algebry [NMMB203, cvičení]	05/12/12	2,20:0,84	-
 	Počet	Předmět	Vyučující
Základy numerické matematiky [NMNM201, cvičení]	30/88/88	1,83:1,05	-
Základy numerické matematiky [NMNM201, přednáška]	32/176/88	1,69:0,69	-
Základy složitosti a vyčíslitelnosti [NTIN090, cvičení]	21/154/155	1,90:1,14	-
Základy složitosti a vyčíslitelnosti [NTIN090, přednáška]	18/155/155	1,89:1,02	-
