Algebra II [NMAI063, přednáška]	05/19/19	1,40:0,55	-
Algebra 2 [NMAG202, cvičení]	29/92/92	2,21:1,26	-
Algebra 2 [NMAG202, přednáška]	30/92/92	1,93:1,05	-
Algebraické křivky [NMAG302, cvičení]	09/28/28	1,44:0,53	-
Algebraické křivky [NMAG302, přednáška]	09/28/28	1,11:0,33	-
Algoritmy a datové struktury 1 [NTIN060, cvičení]	47/192/192	1,64:0,74	-
Algoritmy a datové struktury 1 [NTIN060, přednáška]	45/192/192	1,69:0,87	-
Anglický jazyk pro pokročilé doktorandy II [NJAZ118, cvičení]	05/28/28	1,40:0,89	-
Anglický jazyk pro pokročilé II [NJAZ172, cvičení]	38/136/136	1,71:0,80	-
Anglický jazyk pro pokročilé IV [NJAZ176, cvičení]	25/77/77	1,52:0,77	-
Anglický jazyk pro středně pokročilé II [NJAZ072, cvičení]	45/136/136	1,58:0,69	-
Anglický jazyk pro středně pokročilé IV [NJAZ090, cvičení]	27/76/76	1,81:0,88	-
Aplikace NLP [NPFL093, přednáška]	05/11/11	1,40:0,89	-
Architektura počítačů [NSWI143, přednáška]	20/105/105	1,20:0,41	-
Automaty a gramatiky [NTIN071, cvičení]	34/146/146	1,74:0,86	-
Automaty a gramatiky [NTIN071, přednáška]	33/146/146	1,61:0,75	-
Bakalářský seminář z matematiky II [NMUM332, cvičení]	06/19/19	1,00:0,00	-
Cvičení z teorie množin [NAIL124, cvičení]	07/26/27	1,14:0,38	-
Český jazyk pro začátečníky II [NJAZ098, cvičení]	10/27/28	1,30:0,48	-
 	Počet	Předmět	Vyučující
Databázové systémy [NDBI025, cvičení]	15/133/133	2,27:0,88	-
Databázové systémy [NDBI025, přednáška]	17/133/133	2,41:0,87	-
Datové struktury I [NTIN066, cvičení]	07/17/17	1,71:0,76	-
Datové struktury I [NTIN066, přednáška]	07/17/17	2,00:0,58	-
Dějiny matematiky II [NMUM306, přednáška]	9/42/42	1,78:0,97	-
Doporučené postupy v programování [NPRG043, cvičení]	11/44/44	1,27:0,47	-
Doporučené postupy v programování [NPRG043, přednáška]	11/44/44	1,36:0,50	-
Ekonometrie [NMEK432, cvičení]	05/18/18	2,40:1,67	-
Ekonometrie [NMEK432, přednáška]	05/18/18	2,40:1,52	-
Ekonomie [NMFM260, cvičení]	12/114/57	1,75:1,22	-
Ekonomie [NMFM260, přednáška]	17/114/57	2,12:1,11	-
Elektřina a magnetismus [NOFY018, cvičení]	35/128/129	1,74:1,04	-
Elektřina a magnetismus [NOFY018, přednáška]	31/256/129	1,81:1,25	-
Evoluční algoritmy II [NAIL086, cvičení]	8/41/41	1,13:0,35	-
Evoluční algoritmy II [NAIL086, přednáška]	10/41/41	1,20:0,63	-
Finanční management [NMFM201, přednáška]	08/22/22	2,75:1,04	-
Francouzský jazyk pro začátečníky II [NJAZ044, cvičení]	05/15/15	1,20:0,45	-
Fyzika IV (atomová fyzika a elektronová struktura látek) [NOFY025, cvičení]	29/85/85	2,03:1,12	-
Fyzika IV (atomová fyzika a elektronová struktura látek) [NOFY025, přednáška]	29/170/85	1,45:0,78	-
 	Počet	Předmět	Vyučující
Geometrie [NMAG204, cvičení]	20/71/71	2,25:1,12	-
Geometrie [NMAG204, přednáška]	24/71/71	1,79:0,83	-
Geometrie II [NMUM204, cvičení]	6/38/38	1,17:0,41	-
Geometrie II [NMUM204, přednáška]	6/38/38	1,33:0,82	-
Hluboké učení [NPFL114, cvičení]	22/113/113	1,14:0,35	-
Hluboké učení [NPFL114, přednáška]	24/113/113	1,08:0,28	-
Kalkulus 1 [NMMA122, cvičení]	14/38/38	1,57:0,65	-
Kalkulus 1 [NMMA122, přednáška]	15/38/38	1,73:0,70	-
Kalkulus 4 [NMMA212, cvičení]	08/22/22	1,63:0,74	-
Kalkulus 4 [NMMA212, přednáška]	12/22/22	1,33:0,49	-
Klasická elektrodynamika [NOFY026, cvičení]	34/100/100	2,03:1,09	-
Klasická elektrodynamika [NOFY026, přednáška]	34/100/100	1,82:0,97	-
Kombinatorika [NMUM208, přednáška]	5/42/42	1,40:0,55	-
Křivky a funkční tělesa [NMAG436, přednáška]	05/21/21	1,40:0,55	-
Kvantová mechanika II [NJSF095, cvičení]	08/24/24	1,13:0,35	-
Kvantová mechanika II [NJSF095, přednáška]	08/24/24	1,13:0,35	-
Kvantová teorie pole II [NJSF069, cvičení]	08/23/23	1,00:0,00	-
Kvantová teorie pole II [NJSF069, přednáška]	07/23/23	1,00:0,00	-
Lineární algebra II [NOFY142, cvičení]	21/114/114	1,71:0,85	-
 	Počet	Předmět	Vyučující
Lineární algebra II [NOFY142, přednáška]	18/113/114	1,56:0,78	-
Lineární algebra 2 [NMAG112, cvičení]	43/131/131	1,49:0,59	-
Lineární algebra 2 [NMAI058, cvičení]	40/183/168	1,63:0,77	-
Lineární algebra 2 [NMAG112, přednáška]	50/131/131	1,44:0,54	-
Lineární algebra 2 [NMAI058, přednáška]	39/168/168	2,08:1,04	-
Lineární programování a kombinatorická optimalizace [NOPT048, cvičení]	23/92/92	1,78:0,90	-
Lineární programování a kombinatorická optimalizace [NOPT048, přednáška]	15/92/92	1,93:0,80	-
Matematická analýza II [NMTM102, cvičení]	6/46/47	1,50:0,84	-
Matematická analýza II [NOFY152, cvičení]	28/120/120	1,43:0,74	-
Matematická analýza II [NMAI055, přednáška]	05/24/24	2,60:0,55	-
Matematická analýza II [NMTM102, přednáška]	6/46/47	1,33:0,52	-
Matematická analýza II [NOFY152, přednáška]	27/120/120	1,33:0,68	-
