Akademická angličtina II [NJAZ093, cvičení]	05/11/11	1,80:0,84	-
Algebra [NMAG206, cvičení]	25/73/73	1,44:0,82	-
Algebra [NMAG206, přednáška]	23/73/73	1,43:0,66	-
Algebraické křivky [NMAG302, cvičení]	05/25/25	1,60:0,89	-
Algebraické křivky [NMAG302, přednáška]	05/25/25	1,80:0,84	-
Algoritmy a datové struktury 1 [NTIN060, cvičení]	69/264/264	1,68:0,92	-
Algoritmy a datové struktury 1 [NTIN060, přednáška]	72/264/264	1,26:0,56	-
Anglický jazyk pro pokročilé doktorandy II [NJAZ118, cvičení]	09/18/19	1,11:0,33	-
Anglický jazyk pro pokročilé II [NJAZ172, cvičení]	59/193/193	1,53:0,70	-
Anglický jazyk pro pokročilé IV [NJAZ176, cvičení]	22/92/92	1,64:0,73	-
Anglický jazyk pro středně pokročilé II [NJAZ072, cvičení]	53/183/183	1,51:0,64	-
Anglický jazyk pro středně pokročilé IV [NJAZ090, cvičení]	29/96/96	1,34:0,61	-
Architektura počítačů [NSWI143, přednáška]	17/60/60	1,06:0,24	-
Atomová fyzika a elektronová struktura látek [NOFY125, cvičení]	15/71/71	1,67:0,82	-
Atomová fyzika a elektronová struktura látek [NOFY125, přednáška]	13/71/71	1,31:0,48	-
Automaty a gramatiky [NTIN071, cvičení]	25/125/125	1,72:0,79	-
Automaty a gramatiky [NTIN071, přednáška]	28/125/125	1,75:0,80	-
Cvičení z teorie množin [NAIL124, cvičení]	07/27/27	1,29:0,49	-
Český jazyk pro začátečníky II [NJAZ098, cvičení]	08/23/23	1,63:0,74	-
 	Počet	Předmět	Vyučující
Datové formáty [NPRG036, cvičení]	06/26/26	2,17:0,98	-
Datové formáty [NPRG036, přednáška]	06/26/26	1,83:0,98	-
Doktorský seminář kvantové optiky a optoelektroniky [NOOE100, cvičení]	06/16/13	1,33:0,52	-
Doporučené postupy v programování [NPRG043, cvičení]	10/43/43	1,60:1,26	-
Doporučené postupy v programování [NPRG043, přednáška]	11/42/43	1,55:1,21	-
Ekonomie [NMFM260, přednáška]	16/158/79	2,75:1,13	-
Elektřina a magnetismus [NOFY018, cvičení]	23/153/142	1,74:0,96	-
Finanční management [NMFM201, přednáška]	05/27/27	1,80:1,10	-
Geometrie 2 [NMAG212, cvičení]	13/44/44	2,69:0,95	-
Geometrie 2 [NMAG212, přednáška]	14/44/44	3,21:0,80	-
Hluboké učení [NPFL114, cvičení]	20/155/156	1,00:0,00	-
Hluboké učení [NPFL114, přednáška]	22/155/156	1,05:0,21	-
Kalkulus 1 [NMMA122, cvičení]	12/53/53	2,67:1,23	-
Kalkulus 1 [NMMA122, přednáška]	12/53/53	2,67:1,30	-
Klasická elektrodynamika [NOFY126, cvičení]	16/66/66	1,75:1,18	-
Klasická elektrodynamika [NOFY126, přednáška]	14/66/66	1,43:0,85	-
Kvantová mechanika II [NTMF067, cvičení]	5/32/32	1,40:0,55	-
Kvantová mechanika II [NTMF067, přednáška]	5/32/32	1,20:0,45	-
Kvantová teorie pole II [NJSF146, cvičení]	05/20/23	1,20:0,45	-
 	Počet	Předmět	Vyučující
Kvantová teorie pole II [NJSF146, přednáška]	05/20/23	1,00:0,00	-
Lineární algebra II [NMTM104, cvičení]	12/52/53	1,08:0,29	-
Lineární algebra II [NOFY142, cvičení]	23/120/120	1,61:0,78	-
Lineární algebra II [NMTM104, přednáška]	7/52/53	1,86:1,07	-
Lineární algebra II [NOFY142, přednáška]	24/120/120	1,58:0,88	-
Lineární algebra 2 [NMAG112, cvičení]	53/180/180	1,42:0,66	-
Lineární algebra 2 [NMAI058, cvičení]	68/263/248	1,50:0,82	-
Lineární algebra 2 [NMAG112, přednáška]	54/180/180	1,69:0,84	-
Lineární algebra 2 [NMAI058, přednáška]	59/463/248	1,59:0,75	-
Matematická analýza II [NMTM102, cvičení]	9/54/55	1,33:0,71	-
Matematická analýza II [NOFY152, cvičení]	25/146/133	1,56:0,71	-
Matematická analýza II [NMTM102, přednáška]	9/54/55	1,67:1,12	-
Matematická analýza II [NOFY152, přednáška]	25/132/133	1,36:0,64	-
Matematická analýza 1 [NMAI054, cvičení]	62/252/252	1,82:0,90	-
Matematická analýza 1 [NMAI054, přednáška]	60/475/252	2,43:0,95	-
Matematická analýza 2 [NMMA102, cvičení]	39/105/105	1,18:0,45	-
Matematická analýza 2 [NMMA102, přednáška]	42/105/105	1,19:0,45	-
Matematická analýza 4 [NMMA204, cvičení]	18/64/64	1,39:0,61	-
Matematická analýza 4 [NMMA204, přednáška]	19/64/64	1,37:0,50	-
 	Počet	Předmět	Vyučující
Matematická statistika 2 [NMSA332, cvičení]	11/35/35	1,64:0,50	-
Matematická statistika 2 [NMSA332, přednáška]	9/35/35	1,89:0,60	-
Matematický proseminář II [NMTM162, cvičení]	26/83/83	1,73:1,00	-
Matematika pro fyziky II [NOFY162, cvičení]	18/84/84	1,67:0,84	-
Matematika pro fyziky II [NOFY162, přednáška]	21/84/84	1,24:0,70	-
Mathematica pro začátečníky [NMIN203, cvičení]	15/44/44	1,07:0,26	-
Metodika programování a filozofie programovacích jazyků [NPRG003, přednáška]	6/47/47	1,00:0,00	-
Metody fyziky povrchů a tenkých vrstev I [NEVF515, přednáška]	06/07/08	1,67:1,03	-
Náhodné procesy 1 [NMSA334, cvičení]	13/41/41	1,38:0,87	-
Náhodné procesy 1 [NMSA334, přednáška]	10/41/41	1,60:0,97	-
Neprocedurální programování [NPRG005, cvičení]	12/72/72	1,17:0,39	-
Numerické metody zpracování experimentálních dat [NMAF035, přednáška]	05/10/10	1,20:0,45	-
Obecná teorie relativity [NTMF111, přednáška]	6/51/51	1,17:0,41	-
Pedagogika II (CŽV) [NPEP902, přednáška]	06/15/17	1,17:0,41	-
Počítačové řešení fyzikálních úloh [NMMO212, cvičení]	05/20/10	1,00:0,00	-
Počítačové sítě [NSWI090, přednáška]	14/103/103	2,07:1,14	-
Počítačové systémy [NSWI170, cvičení]	57/230/230	1,75:0,79	-
Počítačové systémy [NSWI170, přednáška]	54/230/230	1,72:0,98	-
Pokročilé programování v jazyce C# [NPRG038, cvičení]	7/50/50	1,43:0,53	-
 	Počet	Předmět	Vyučující
Pokročilé programování v jazyce C# [NPRG038, přednáška]	6/50/50	1,17:0,41	-
Praktikum školních pokusů II [NFUF406, cvičení]	11/52/26	1,00:0,00	-
Pravděpodobnost a matematická statistika [NMSA202, cvičení]	19/72/72	1,42:0,51	-
Pravděpodobnost a matematická statistika [NMSA202, přednáška]	19/71/72	1,58:0,61	-
Pravděpodobnost a statistika 1 [NMAI059, cvičení]	19/118/118	1,79:1,08	-
Pravděpodobnost a statistika 1 [NMAI059, přednáška]	19/118/118	2,05:1,31	-
Pravděpodobnost pro finanční matematiky [NMFM202, cvičení]	07/25/27	1,14:0,38	-
Pravděpodobnost pro finanční matematiky [NMFM202, přednáška]	07/25/27	1,43:0,53	-
Pravděpodobnostní a statistické problémy [NMSA170, cvičení]	29/93/93	1,41:0,68	-
Principy počítačů pro bioinformatiky [NSWI178, přednáška]	05/28/28	2,80:0,84	-
Principy statistického uvažování [NMSA260, cvičení]	10/34/34	1,40:0,70	-
Programování a zpracování dat v Pythonu [NOFY078, cvičení]	11/96/96	1,91:1,22	-
Programování a zpracování dat v Pythonu [NOFY078, přednáška]	11/96/96	1,91:1,38	-
Programování v paralelním prostředí [NPRG042, cvičení]	9/84/42	1,67:0,71	-
Programování v paralelním prostředí [NPRG042, přednáška]	10/84/42	1,60:0,84	-
Programování v Pythonu [NPRG065, cvičení]	5/36/36	1,00:0,00	-
Programování 2 [NMIN112, cvičení]	43/172/124	1,65:0,72	-
Programování 2 [NPRG031, cvičení]	65/270/270	1,58:0,93	-
Programování 2 [NMIN112, přednáška]	41/124/124	1,63:0,86	-
 	Počet	Předmět	Vyučující
Programování 2 [NPRG031, přednáška]	59/504/270	1,97:1,11	-
Proseminář z algebry [NMAG261, cvičení]	05/16/16	1,80:0,84	-
Proseminář z elektrodynamiky [NOFY011, cvičení]	11/89/89	2,27:1,42	-
Proseminář z Matematické analýzy [NMMA162, cvičení]	05/20/20	1,60:0,55	-
Proseminář z pravděpodobnosti a matematické statistiky [NMSA262, cvičení]	06/22/22	1,67:1,03	-
Proseminář z teorie čísel [NMAG160, cvičení]	14/48/48	1,36:0,50	-
Realtime grafika na GPU [NPGR019, cvičení]	6/43/43	1,50:0,84	-
Relativistická fyzika II [NTMF038, cvičení]	5/32/17	1,20:0,45	-
Relativistická fyzika II [NTMF038, přednáška]	5/32/17	1,20:0,45	-
Rozšiřující seminář Algoritmy a datové struktury 1 [NTIN107, cvičení]	13/73/73	1,77:0,83	-
Seminář fyziky povrchů a tenkých vrstev [NEVF517, cvičení]	06/09/09	1,33:0,82	-
Studentská konference [NEVF555, cvičení]	05/18/26	1,40:0,89	-
Španělský jazyk pro středně pokročilé II [NJAZ105, cvičení]	05/15/16	1,20:0,45	-
Teorie čísel [NMMB206, cvičení]	08/31/31	1,38:0,52	-
Teorie čísel [NMMB206, přednáška]	07/31/31	1,57:0,53	-
Teorie kondenzovaného stavu I [NFPL108, přednáška]	05/19/19	2,40:1,34	-
Teorie množin [NAIL063, přednáška]	6/50/50	1,17:0,41	-
Termodynamika a statistická fyzika II [NTMF044, cvičení]	6/62/31	1,50:0,55	-
The C Programming Language [NPRG066, cvičení]	8/44/22	1,13:0,35	-
 	Počet	Předmět	Vyučující
Umělá inteligence 2 [NAIL070, přednáška]	5/47/47	1,60:0,55	-
Úvod do financí [NMFM104, přednáška]	11/71/71	1,73:0,90	-
Úvod do kvantové mechaniky [NOFY127, cvičení]	20/75/75	1,25:0,55	-
Úvod do kvantové mechaniky [NOFY127, přednáška]	19/75/75	1,53:0,70	-
Úvod do Linuxu [NSWI177, cvičení]	53/259/259	2,38:1,26	-
Úvod do Linuxu [NSWI177, přednáška]	59/259/259	2,47:1,36	-
Úvod do matematické logiky [NMAG162, přednáška]	5/40/40	2,40:1,34	-
Úvod do optimalizace [NMFM204, cvičení]	20/73/73	2,35:1,14	-
Úvod do optimalizace [NMFM204, přednáška]	20/73/73	1,75:0,79	-
Úvod do řešení problémů kombinatorických, mat. i jiných (IPS) II [NDMI051, cvičení]	20/165/55	1,15:0,37	-
Úvod do softwarového inženýrství [NSWI041, cvičení]	9/57/57	1,67:0,87	-
Úvod do softwarového inženýrství [NSWI041, přednáška]	9/57/57	1,89:1,05	-
Úvod do umělé inteligence [NAIL120, cvičení]	7/61/61	1,71:0,76	-
Úvod do umělé inteligence [NAIL120, přednáška]	7/61/61	1,43:0,79	-
Vybrané partie z funkcionální analýzy [NMMA342, cvičení]	9/35/35	2,67:1,41	-
Vybrané partie z funkcionální analýzy [NMMA342, přednáška]	8/35/35	2,75:1,28	-
Základy matematického modelování [NMFM310, cvičení]	05/20/20	1,20:0,45	-
Základy matematického modelování [NMFM310, přednáška]	06/20/20	1,67:0,82	-
Základy planimetrie [NMTM106, cvičení]	9/60/61	1,33:0,50	-
 	Počet	Předmět	Vyučující
Základy planimetrie [NMTM106, přednáška]	9/60/61	1,22:0,44	-
Základy vývoje počítačových her [NPGR038, cvičení]	5/44/44	2,60:1,82	-
Základy vývoje počítačových her [NPGR038, přednáška]	5/44/44	2,60:1,82	-
