Administrace Linuxu [NSWI106, cvičení]	12/51/51	2,83:1,75	-
Administrace Linuxu [NSWI106, přednáška]	14/51/51	2,14:1,23	-
Akademická angličtina I [NJAZ115, cvičení]	06/14/14	1,67:0,82	-
Aktuárský seminář 1 [NMFM501, cvičení]	08/19/19	1,50:0,76	-
Algebra [NMUM501, přednáška]	6/31/31	1,83:1,17	-
Algebra 1 [NMAI062, cvičení]	18/17/17	2,00:1,08	-
Algebra 1 [NMAI062, přednáška]	18/17/17	1,61:0,78	-
Algoritmická teorie her [NDMI098, cvičení]	7/35/35	1,14:0,38	-
Algoritmická teorie her [NDMI098, přednáška]	9/35/35	1,22:0,44	-
Algoritmizace [NPRG062, cvičení]	108/357/366	1,46:0,75	-
Algoritmizace [NPRG062, přednáška]	111/362/366	1,53:0,75	-
Algoritmy a datové struktury 2 [NTIN061, cvičení]	38/129/129	1,55:0,69	-
Algoritmy a datové struktury 2 [NTIN061, přednáška]	35/129/129	1,80:0,80	-
Algoritmy komprese dat [NSWI072, přednáška]	8/37/37	1,75:0,89	-
Analýza censorovaných dat [NMST531, cvičení]	06/12/12	1,00:0,00	-
Analýza censorovaných dat [NMST531, přednáška]	05/12/12	1,00:0,00	-
Analýza maticových výpočtů 1 [NMNM331, cvičení]	14/33/33	1,21:0,43	-
Analýza maticových výpočtů 1 [NMNM331, přednáška]	14/33/33	1,29:0,61	-
Anglický jazyk pro matematiky I [NJAZ013, cvičení]	06/15/15	1,33:0,52	-
 	Počet	Předmět	Vyučující
Anglický jazyk pro mírně pokročilé I [NJAZ071, cvičení]	15/89/53	1,40:0,91	-
Anglický jazyk pro pokročilé doktorandy I [NJAZ092, cvičení]	08/14/14	1,50:0,76	-
Anglický jazyk pro pokročilé I [NJAZ170, cvičení]	113/261/261	1,81:0,92	-
Anglický jazyk pro pokročilé III [NJAZ174, cvičení]	26/94/94	1,58:0,86	-
Anglický jazyk pro středně pokročilé I [NJAZ070, cvičení]	93/250/250	1,77:0,85	-
Anglický jazyk pro středně pokročilé III [NJAZ074, cvičení]	44/123/123	1,52:0,66	-
Aplikace lineární algebry v kombinatorice [NDMI028, přednáška]	05/06/06	1,00:0,00	-
Aplikovaná kryptografie 1 [NMMB301, přednáška]	05/10/10	1,60:0,89	-
Architektury softwarových systémů [NSWI130, cvičení]	05/20/42	2,20:1,10	-
Architektury softwarových systémů [NSWI130, přednáška]	8/42/42	2,00:0,76	-
Aritmetika a algebra I [NMTM105, cvičení]	17/63/63	1,24:0,44	-
Aritmetika a algebra I [NMTM105, přednáška]	18/63/63	1,22:0,43	-
Astrofyzika pro fyziky [NAST023, přednáška]	05/15/15	1,40:0,89	-
Automaty a výpočetní složitost [NMMB415, přednáška]	05/20/20	1,00:0,00	-
Bakalářský seminář z matematiky I [NMUM331, cvičení]	09/30/30	1,22:0,44	-
Bankovnictví [NMFM309, cvičení]	12/38/38	2,08:0,67	-
Bankovnictví [NMFM309, přednáška]	14/38/38	2,00:0,68	-
Booleovské funkce [NMMB331, přednáška]	05/23/23	2,20:0,84	-
Časové řady [NMST537, cvičení]	11/29/29	1,55:0,93	-
 	Počet	Předmět	Vyučující
Časové řady [NMST537, přednáška]	11/29/29	1,73:0,90	-
Český jazyk pro středně pokročilé I [NJAZ199, cvičení]	06/08/08	1,33:0,82	-
Český jazyk pro začátečníky I [NJAZ097, cvičení]	10/34/35	1,40:0,52	-
Databázové přístupové metody [NDBI007, přednáška]	05/16/16	1,20:0,45	-
Databázové systémy [NDBI025, cvičení]	18/104/104	2,06:1,16	-
Databázové systémy [NDBI025, přednáška]	17/104/104	2,12:1,05	-
Datové struktury 1 [NTIN066, cvičení]	18/73/73	2,11:1,02	-
Datové struktury 1 [NTIN066, přednáška]	19/73/73	1,63:0,76	-
Didaktika matematiky I [NMTM405, přednáška]	05/28/28	1,40:0,55	-
Diferenciální geometrie [NMUM301, přednáška]	6/37/37	1,33:0,82	-
Digitální zpracování obrazu [NPGR002, přednáška]	08/26/26	2,75:1,16	-
Diskrétní matematika [NDMI002, cvičení]	110/314/316	1,58:0,77	-
Diskrétní matematika [NMIN105, cvičení]	61/138/138	1,66:0,87	-
Diskrétní matematika [NDMI002, přednáška]	105/314/316	1,33:0,60	-
Diskrétní matematika [NMIN105, přednáška]	63/274/138	1,71:0,83	-
Evoluční algoritmy 1 [NAIL025, cvičení]	10/44/44	1,20:0,42	-
Evoluční algoritmy 1 [NAIL025, přednáška]	10/43/44	1,50:0,97	-
Filozofické problémy fyziky [NPOZ007, cvičení]	32/125/125	1,19:0,40	-
Finanční deriváty 2 [NMFM532, přednáška]	06/16/08	2,67:1,21	-
 	Počet	Předmět	Vyučující
Finanční matematika [NMTM207, cvičení]	6/60/30	1,17:0,41	-
Firemní semináře [NSWI133, cvičení]	07/21/21	1,00:0,00	-
Francouzský jazyk pro mírně pokročilé I [NJAZ045, cvičení]	06/14/14	1,33:0,52	-
Francouzský jazyk pro začátečníky I [NJAZ043, cvičení]	06/16/16	1,17:0,41	-
Fyzika v experimentech I [NOFY067, cvičení]	21/0/109	1,33:0,48	-
Fyzika V (Jaderná a subjaderná fyzika) [NOFY029, cvičení]	31/74/74	1,74:0,86	-
Fyzika V (Jaderná a subjaderná fyzika) [NOFY029, přednáška]	31/74/74	1,19:0,40	-
Geometrie III [NMUM503, přednáška]	6/31/31	1,50:0,55	-
Geometrie 1 [NMAG211, cvičení]	25/78/78	2,08:1,19	-
Geometrie 1 [NMAG211, přednáška]	29/78/78	2,00:1,04	-
Grafové algoritmy [NDMI010, přednáška]	05/23/23	1,00:0,00	-
Hluboké zpětnovazební učení [NPFL122, cvičení]	11/51/51	1,00:0,00	-
Hluboké zpětnovazební učení [NPFL122, přednáška]	12/51/51	1,08:0,29	-
Interpretace kvantové mechaniky [NTMF036, cvičení]	05/29/29	1,00:0,00	-
Interpretace kvantové mechaniky [NTMF036, přednáška]	06/29/29	1,00:0,00	-
Introduction to Colour Science [NPGR025, přednáška]	08/28/29	1,00:0,00	-
Kalkulus 2 [NMMA221, cvičení]	12/26/26	2,00:0,85	-
Kalkulus 2 [NMMA221, přednáška]	12/26/26	1,50:0,52	-
Kombinatorika a grafy 1 [NDMI011, cvičení]	37/122/122	1,51:0,77	-
 	Počet	Předmět	Vyučující
Kombinatorika a grafy 1 [NDMI011, přednáška]	36/122/122	1,58:0,87	-
Komutativní okruhy [NMAG301, cvičení]	07/31/31	2,29:0,95	-
Komutativní okruhy [NMAG301, přednáška]	08/31/31	1,75:0,89	-
Koncepty moderních programovacích jazyků [NPRG014, cvičení]	14/114/57	1,64:0,84	-
Kvantová mechanika I [NTMF066, cvičení]	9/36/36	1,56:0,88	-
Kvantová mechanika I [NTMF066, přednáška]	11/36/36	1,18:0,60	-
Kvantová teorie I [NBCM110, cvičení]	06/22/23	1,33:0,52	-
Kvantová teorie I [NBCM110, přednáška]	06/22/23	2,00:0,89	-
Kvantová teorie pole I [NJSF145, cvičení]	09/27/28	1,33:0,50	-
Kvantová teorie pole I [NJSF145, přednáška]	07/27/28	1,29:0,49	-
Lineární algebra I [NMTM103, cvičení]	18/60/60	1,22:0,43	-
Lineární algebra I [NOFY141, cvičení]	57/167/168	1,65:0,79	-
Lineární algebra I [NMTM103, přednáška]	12/60/60	1,92:0,90	-
Lineární algebra I [NOFY141, přednáška]	55/167/168	1,64:0,73	-
Lineární algebra 1 [NMAG111, cvičení]	96/235/235	1,30:0,65	-
Lineární algebra 1 [NMAI057, cvičení]	104/372/345	1,60:0,74	-
Lineární algebra 1 [NMAG111, přednáška]	95/234/235	1,57:0,68	-
Lineární algebra 1 [NMAI057, přednáška]	99/344/345	1,77:0,82	-
Lineární regrese [NMSA407, cvičení]	11/46/46	2,73:1,42	-
 	Počet	Předmět	Vyučující
Lineární regrese [NMSA407, přednáška]	10/46/46	1,50:0,97	-
Logika a teorie množin [NMUM505, přednáška]	7/35/35	1,14:0,38	-
Matematická analýza I [NMTM101, cvičení]	40/147/147	1,43:0,68	-
Matematická analýza I [NOFY151, cvičení]	67/190/191	1,66:0,88	-
Matematická analýza I [NMTM101, přednáška]	41/147/147	1,51:0,71	-
Matematická analýza I [NOFY151, přednáška]	71/190/191	1,52:0,69	-
Matematická analýza 1 [NMMA101, cvičení]	70/142/142	1,27:0,45	-
Matematická analýza 1 [NMMA101, přednáška]	70/142/142	1,13:0,34	-
Matematická analýza 2 [NMAI055, cvičení]	16/57/57	1,25:0,58	-
Matematická analýza 2 [NMAI055, přednáška]	17/57/57	1,53:0,72	-
Matematická analýza 3 [NMMA201, cvičení]	28/68/68	1,36:0,68	-
Matematická analýza 3 [NMMA201, přednáška]	26/68/68	1,42:0,58	-
Matematická statistika 1 [NMSA331, cvičení]	17/39/39	1,18:0,39	-
Matematická statistika 1 [NMSA331, přednáška]	17/39/39	1,24:0,56	-
Matematické dovednosti [NMAI069, cvičení]	68/216/217	1,85:1,01	-
