Administrace Unixu [NSWI106, cvičení]	11/36/36	1,09:0,30	-
Administrace Unixu [NSWI106, přednáška]	9/36/36	2,00:1,00	-
Aktuárský seminář 1 [NMFM501, cvičení]	06/17/17	1,50:0,84	-
Algebra I [NMAI062, cvičení]	22/93/93	1,73:0,98	-
Algebra I [NMAI062, přednáška]	20/93/93	2,00:1,03	-
Algebra 1 [NMAG201, cvičení]	30/83/83	1,80:0,96	-
Algebra 1 [NMAG201, přednáška]	28/83/83	1,54:0,58	-
Algebraická geometrie [NMAG401, cvičení]	07/19/19	2,57:0,98	-
Algebraická geometrie [NMAG401, přednáška]	07/19/19	2,29:0,95	-
Algebraická topologie 1 [NMAG409, cvičení]	06/20/20	1,83:0,75	-
Algebraická topologie 1 [NMAG409, přednáška]	06/20/20	1,83:0,98	-
Algoritmická teorie her [NDMI098, cvičení]	05/10/10	1,20:0,45	-
Algoritmická teorie her [NDMI098, přednáška]	05/10/10	1,40:0,89	-
Algoritmizace [NPRG062, cvičení]	64/214/214	1,83:0,94	-
Algoritmizace [NPRG062, přednáška]	72/214/214	1,42:0,69	-
Algoritmy a datové struktury II [NTIN061, cvičení]	44/139/139	1,55:0,85	-
Algoritmy a datové struktury II [NTIN061, přednáška]	43/139/139	1,65:1,00	-
Analýza investic [NMFM431, cvičení]	06/14/14	1,50:0,55	-
Analýza investic [NMFM431, přednáška]	06/14/14	1,17:0,41	-
 	Počet	Předmět	Vyučující
Analýza maticových výpočtů 1 [NMNM331, cvičení]	12/26/26	1,50:0,67	-
Analýza maticových výpočtů 1 [NMNM331, přednáška]	12/26/26	1,67:1,23	-
Anglický jazyk pro doktorské studium I [NJAZ068, cvičení]	05/15/17	1,80:0,84	-
Anglický jazyk pro informatiky I [NJAZ111, cvičení]	05/13/13	1,40:0,55	-
Anglický jazyk pro matematiky I [NJAZ013, cvičení]	07/12/12	1,71:0,76	-
Anglický jazyk pro mírně pokročilé I [NJAZ071, cvičení]	7/50/33	1,57:0,53	-
Anglický jazyk pro pokročilé doktorandy I [NJAZ092, cvičení]	6/31/32	1,33:0,82	-
Anglický jazyk pro pokročilé I [NJAZ170, cvičení]	67/184/184	1,70:0,84	-
Anglický jazyk pro pokročilé III [NJAZ174, cvičení]	34/105/105	1,56:0,70	-
Anglický jazyk pro středně pokročilé I [NJAZ070, cvičení]	62/170/170	1,73:0,71	-
Anglický jazyk pro středně pokročilé III [NJAZ074, cvičení]	33/97/97	1,58:0,75	-
Aplikovaná kryptografie 1 [NMMB301, přednáška]	07/11/11	2,00:0,82	-
Aritmetika a algebra I [NMTM105, cvičení]	8/45/45	1,38:0,52	-
Aritmetika a algebra I [NMTM105, přednáška]	10/45/45	1,70:0,67	-
Bakalářský seminář z matematiky I [NMUM331, cvičení]	06/22/22	1,50:0,84	-
Certificate in Advanced English (CAE) - přípravný kurz I [NJAZ087, cvičení]	05/16/17	1,00:0,00	-
Časové řady [NMST537, cvičení]	09/21/21	1,44:0,73	-
Časové řady [NMST537, přednáška]	10/21/21	1,70:1,06	-
Český jazyk pro mírně pokročilé I [NJAZ099, cvičení]	06/14/15	1,00:0,00	-
 	Počet	Předmět	Vyučující
Český jazyk pro začátečníky I [NJAZ097, cvičení]	07/25/27	1,00:0,00	-
Datové struktury I [NTIN066, cvičení]	21/103/103	1,81:1,03	-
Datové struktury I [NTIN066, přednáška]	24/103/103	1,25:0,53	-
Dějiny matematiky I [NMUM305, přednáška]	16/48/48	1,13:0,34	-
Didaktika fyziky I [NDFY043, cvičení]	07/28/28	1,57:0,79	-
Didaktika fyziky I [NDFY043, přednáška]	07/28/28	1,57:0,79	-
Didaktika matematiky [NMUM405, cvičení]	11/38/38	2,27:1,35	-
Didaktika matematiky [NMUM405, přednáška]	12/38/38	2,92:1,38	-
Diferenciální geometrie [NMUM301, cvičení]	07/31/31	1,29:0,49	-
Diferenciální geometrie [NMUM301, přednáška]	07/31/31	1,29:0,49	-
Digitální zpracování obrazu [NPGR002, přednáška]	08/15/15	1,25:0,71	-
Diskrétní matematika [NDMI002, cvičení]	66/199/199	1,58:0,77	-
Diskrétní matematika [NMIN105, cvičení]	39/122/122	1,62:0,78	-
Diskrétní matematika [NDMI002, přednáška]	67/199/199	1,48:0,80	-
Diskrétní matematika [NMIN105, přednáška]	37/244/122	1,65:0,59	-
Dotazovací jazyky I [NDBI001, přednáška]	05/13/13	2,20:1,10	-
Ekonometrický projektový seminář [NMEK551, cvičení]	05/20/10	1,40:0,55	-
Evoluční algoritmy I [NAIL025, cvičení]	11/58/58	1,36:0,67	-
Evoluční algoritmy I [NAIL025, přednáška]	10/58/58	1,50:0,85	-
 	Počet	Předmět	Vyučující
Experimentální metody fyziky I [NOFY059, cvičení]	7/64/32	1,43:0,79	-
Funkcionální analýza 1 [NMMA401, cvičení]	05/06/06	1,40:0,89	-
Funkcionální analýza 1 [NMMA401, přednáška]	05/06/06	1,40:0,89	-
Fyzika III (optika) [NOFY022, cvičení]	28/90/90	1,43:0,69	-
Fyzika III (optika) [NOFY022, přednáška]	27/180/90	1,81:0,83	-
Fyzika IV (atomová fyzika) [NUFY103, přednáška]	05/26/13	2,80:1,10	-
Fyzika kondenzovaného stavu [NUFY104, přednáška]	05/22/22	1,40:0,55	-
Fyzika v experimentech I [NOFY067, cvičení]	13/0/99	1,46:0,66	-
Fyzika V (Jaderná a subjaderná fyzika) [NOFY029, cvičení]	26/66/66	1,35:0,56	-
Fyzika V (Jaderná a subjaderná fyzika) [NOFY029, přednáška]	25/66/66	1,64:0,81	-
Geometrické modelování [NMMB434, přednáška]	06/14/14	1,17:0,41	-
Geometrie I [NMUM203, cvičení]	7/40/40	1,29:0,49	-
Geometrie I [NMUM203, přednáška]	7/40/40	1,29:0,49	-
Grafové algoritmy [NDMI010, přednáška]	05/12/13	1,60:0,89	-
Hluboké zpětnovazební učení [NPFL122, cvičení]	9/63/63	1,11:0,33	-
Hluboké zpětnovazební učení [NPFL122, přednáška]	13/63/63	1,00:0,00	-
Java [NPRG013, cvičení]	22/99/100	2,68:1,25	-
Java [NPRG013, přednáška]	18/99/100	2,83:1,15	-
Jazyk C# a platforma .NET [NPRG035, cvičení]	28/132/132	1,25:0,52	-
 	Počet	Předmět	Vyučující
Jazyk C# a platforma .NET [NPRG035, přednáška]	29/132/132	1,07:0,26	-
Kalkulus 3 [NMMA211, cvičení]	05/23/23	2,00:0,71	-
Kalkulus 3 [NMMA211, přednáška]	05/23/23	1,80:0,45	-
Kombinatorická a výpočetní geometrie I [NDMI009, cvičení]	7/50/25	1,29:0,49	-
Kombinatorická a výpočetní geometrie I [NDMI009, přednáška]	7/50/25	1,43:0,79	-
Kombinatorika [NMAG403, cvičení]	07/17/17	2,14:0,69	-
Kombinatorika [NMAG403, přednáška]	7/34/17	1,00:0,00	-
Kombinatorika a grafy II [NDMI012, cvičení]	19/65/65	1,16:0,37	-
Kombinatorika a grafy II [NDMI012, přednáška]	18/65/65	1,22:0,43	-
Komutativní okruhy [NMAG301, cvičení]	17/33/33	1,35:0,49	-
Komutativní okruhy [NMAG301, přednáška]	18/33/33	1,22:0,43	-
Konvexní optimalizace [NMMB409, cvičení]	10/18/18	1,40:0,52	-
Konvexní optimalizace [NMMB409, přednáška]	12/18/18	1,25:0,45	-
Kvantová mechanika I [NJSF094, cvičení]	09/29/29	1,11:0,33	-
Kvantová mechanika I [NJSF094, přednáška]	10/29/29	1,00:0,00	-
Kvantová teorie I [NBCM110, cvičení]	10/29/30	1,30:0,48	-
Kvantová teorie I [NBCM110, přednáška]	08/29/30	1,50:1,07	-
Kvantová teorie pole I [NJSF068, cvičení]	07/30/31	1,43:0,53	-
Kvantová teorie pole I [NJSF068, přednáška]	09/30/31	1,00:0,00	-
 	Počet	Předmět	Vyučující
Lineární algebra I [NMTM103, cvičení]	7/38/38	1,14:0,38	-
Lineární algebra I [NOFY141, cvičení]	41/131/131	1,54:0,78	-
Lineární algebra I [NMTM103, přednáška]	7/37/38	1,57:0,53	-
Lineární algebra I [NOFY141, přednáška]	46/131/131	1,96:0,94	-
Lineární algebra 1 [NMAG111, cvičení]	60/174/174	1,52:0,65	-
Lineární algebra 1 [NMAI057, cvičení]	64/222/200	1,67:0,76	-
Lineární algebra 1 [NMAG111, přednáška]	64/174/174	1,67:0,84	-
Lineární algebra 1 [NMAI057, přednáška]	57/200/200	2,00:0,85	-
Lineární regrese [NMSA407, cvičení]	26/44/44	2,96:1,25	-
Lineární regrese [NMSA407, přednáška]	24/44/44	2,96:1,20	-
Logika a teorie množin [NMUM505, přednáška]	06/21/21	1,83:1,60	-
Matematická analýza I [NMTM101, cvičení]	27/86/86	1,19:0,40	-
Matematická analýza I [NOFY151, cvičení]	52/147/147	1,48:0,75	-
Matematická analýza I [NMTM101, přednáška]	28/85/86	1,36:0,56	-
Matematická analýza I [NOFY151, přednáška]	53/147/147	1,74:1,00	-
Matematická analýza III [NMAI056, cvičení]	9/39/39	1,44:0,73	-
Matematická analýza III [NMUM201, cvičení]	5/36/36	1,40:0,55	-
Matematická analýza III [NMAI056, přednáška]	9/39/39	1,78:0,97	-
Matematická analýza III [NMUM201, přednáška]	6/36/36	1,83:0,98	-
 	Počet	Předmět	Vyučující
Matematická analýza V [NMUM401, cvičení]	8/36/36	1,75:0,89	-
Matematická analýza V [NMUM401, přednáška]	9/36/36	2,22:0,97	-
Matematická analýza 1 [NMAI054, cvičení]	6/31/31	1,33:0,52	-
Matematická analýza 1 [NMMA101, cvičení]	37/121/121	1,65:0,86	-
Matematická analýza 1 [NMAI054, přednáška]	6/31/31	1,50:0,84	-
Matematická analýza 1 [NMMA101, přednáška]	36/121/121	1,44:0,73	-
Matematická analýza 3 [NMMA201, cvičení]	29/80/80	1,48:0,69	-
Matematická analýza 3 [NMMA201, přednáška]	29/80/80	1,24:0,51	-
Matematická ekonomie [NMEK531, cvičení]	06/08/08	1,00:0,00	-
Matematická ekonomie [NMEK531, přednáška]	06/08/08	1,00:0,00	-
Matematická logika [NMAG331, přednáška]	10/31/31	2,20:1,14	-
Matematická statistika 1 [NMSA331, cvičení]	15/32/32	1,53:0,99	-
Matematická statistika 1 [NMSA331, přednáška]	17/32/32	1,47:0,80	-
Matematické dovednosti [NMAI069, cvičení]	41/140/140	1,41:0,74	-
Matematické metody ve financích [NMFM203, přednáška]	06/29/29	1,67:0,82	-
Matematický proseminář I [NMTM161, cvičení]	49/141/141	1,86:0,89	-
Matematika neživotního pojištění 1 [NMFM401, cvičení]	10/18/18	1,70:0,67	-
Matematika neživotního pojištění 1 [NMFM401, přednáška]	10/18/18	2,50:1,27	-
Matematika pro fyziky I [NMAF061, cvičení]	26/90/90	2,12:1,07	-
 	Počet	Předmět	Vyučující
Matematika pro fyziky I [NMAF061, přednáška]	23/90/90	2,17:1,27	-
Matematika pro fyziky III [NMAF063, cvičení]	29/71/71	1,28:0,53	-
Matematika pro fyziky III [NMAF063, přednáška]	23/71/71	1,87:1,01	-
Matematika ve financích [NMFM331, cvičení]	10/33/34	1,60:0,70	-
Matematika ve financích [NMFM331, přednáška]	11/33/34	1,55:0,69	-
Matematika ve financích a pojišťovnictví [NMFM205, přednáška]	11/33/33	1,55:1,04	-
Mathematica pro začátečníky [NMIN203, cvičení]	08/28/28	1,63:1,06	-
Mechanika a molekulová fyzika [NOFY021, cvičení]	48/141/141	1,48:0,85	-
Mechanika a molekulová fyzika [NOFY021, přednáška]	46/282/141	1,50:0,72	-
Metody řešení matematických úloh [NMUM307, cvičení]	07/25/25	2,00:0,82	-
Moderní databázové koncepty [NDBI040, cvičení]	08/22/22	1,38:0,74	-
Moderní databázové koncepty [NDBI040, přednáška]	09/22/22	1,44:0,88	-
Náhodné procesy 2 [NMSA409, cvičení]	23/76/38	1,26:0,69	-
Náhodné procesy 2 [NMSA409, přednáška]	18/38/38	1,67:0,84	-
Nástroje pro vývoj software [NSWI154, cvičení]	10/38/38	2,40:1,26	-
Oborový seminář [NMSA401, cvičení]	13/18/18	1,54:0,66	-
Obyčejné diferenciální rovnice [NMMA333, cvičení]	06/21/21	1,83:0,98	-
Obyčejné diferenciální rovnice [NMMA333, přednáška]	06/21/21	1,33:0,52	-
Ochrana informací I [NSWI089, přednáška]	11/61/61	2,45:1,04	-
 	Počet	Předmět	Vyučující
Okruhy a moduly [NMAG333, cvičení]	09/23/23	2,22:1,09	-
Okruhy a moduly [NMAG333, přednáška]	09/23/23	1,56:0,88	-
Operační systémy [NSWI004, cvičení]	14/52/52	2,14:1,29	-
Operační systémy [NSWI004, přednáška]	14/52/52	1,71:1,44	-
Organizace a zpracování dat I [NDBI007, cvičení]	8/43/43	1,38:0,52	-
Organizace a zpracování dat I [NDBI007, přednáška]	8/43/43	1,75:0,71	-
Parciální diferenciální rovnice 1 [NMMA405, přednáška]	05/10/10	2,60:1,52	-
Pedagogická praxe z fyziky I [NDFY031, cvičení]	05/18/19	1,00:0,00	-
Pedagogika I [NPED034, přednáška]	11/52/52	3,09:1,14	-
Počítačová algebra 2 [NMMB403, cvičení]	05/16/16	1,80:1,30	-
Počítačová algebra 2 [NMMB403, přednáška]	06/16/16	1,67:1,21	-
Pokročilé partie finančního managementu [NMFM507, přednáška]	06/14/14	2,00:1,10	-
Práce s počítačem a programování [NAFY008, cvičení]	05/26/13	1,80:0,45	-
Práce s počítačem a programování [NAFY008, přednáška]	05/26/13	2,40:0,89	-
Praktikum z pravděpodobnostních metod [NMAI165, cvičení]	7/34/34	2,00:1,29	-
Praktikum z vývoje počítačových her [NSWI159, cvičení]	06/25/26	1,17:0,41	-
Pravděpodobnost a kryptografie [NMMB407, přednáška]	15/20/20	2,93:1,10	-
Pravděpodobnost a matematická statistika I [NMUM403, cvičení]	12/43/43	1,75:0,87	-
Pravděpodobnost a matematická statistika I [NMUM403, přednáška]	12/43/43	1,25:0,45	-
 	Počet	Předmět	Vyučující
Pravděpodobnost a statistika [NMAI059, cvičení]	60/160/160	1,60:0,72	-
Pravděpodobnost a statistika [NMAI059, přednáška]	39/159/160	2,00:0,95	-
Pravděpodobnostní metody [NMAI060, přednáška]	14/71/71	2,21:0,89	-
Právní aspekty ochrany dat [NMMB437, přednáška]	09/18/18	1,00:0,00	-
Principy počítačů [NSWI120, přednáška]	67/211/211	1,33:0,61	-
