Fyzikální praktikum II pro obor Obecná fyzika [NOFY024, cvičení]	28/281/73	2,11:0,88	-
Geometrické metody teoretické fyziky I [NTMF059, cvičení]	08/18/18	1,75:1,04	-
Geometrické metody teoretické fyziky I [NTMF059, přednáška]	09/18/18	1,78:0,97	-
Geometrické modelování [NMMB434, cvičení]	12/22/22	1,58:0,79	-
Geometrické modelování [NMMB434, přednáška]	13/22/22	1,38:0,65	-
Geometrie I [NMUM203, cvičení]	14/44/44	1,57:0,65	-
Geometrie I [NMUM203, přednáška]	10/44/44	1,70:0,82	-
Heuristické metody ve výuce fyziky I [NDFY051, cvičení]	06/30/16	1,17:0,41	-
Hluboké zpětnovazební učení [NPFL122, cvičení]	8/43/44	1,13:0,35	-
Hluboké zpětnovazební učení [NPFL122, přednáška]	11/43/44	1,00:0,00	-
 	Počet	Předmět	Vyučující
Implementace datových struktur [NTIN106, cvičení]	07/27/27	2,29:1,11	-
Implementace neuronových sítí I [NAIL060, přednáška]	05/26/27	1,40:0,55	-
Informatika a kognitivní vědy I [NAIL087, cvičení]	10/40/41	2,10:0,99	-
Informatika a kognitivní vědy I [NAIL087, přednáška]	11/80/41	1,82:0,98	-
Interpretace kvantové mechaniky [NTMF036, cvičení]	05/12/12	1,60:0,55	-
Interpretace kvantové mechaniky [NTMF036, přednáška]	07/12/12	1,29:0,49	-
Java [NPRG013, cvičení]	22/115/115	2,32:0,99	-
Java [NPRG013, přednáška]	19/115/115	2,32:1,06	-
Jazyk C# a platforma .NET [NPRG035, cvičení]	34/134/134	1,50:0,90	-
Jazyk C# a platforma .NET [NPRG035, přednáška]	37/134/134	1,32:0,78	-
Kalkulus 1 [NMMA111, cvičení]	7/57/57	2,00:1,15	-
Kalkulus 1 [NMMA111, přednáška]	10/57/57	2,10:0,99	-
Klasická elektrodynamika [NUFY096, přednáška]	09/20/20	1,33:0,71	-
Kombinatorika a grafy II [NDMI012, cvičení]	20/56/56	1,30:0,47	-
Kombinatorika a grafy II [NDMI012, přednáška]	21/56/56	1,24:0,44	-
Komutativní okruhy [NMAG301, cvičení]	24/35/35	1,46:0,72	-
Komutativní okruhy [NMAG301, přednáška]	25/35/35	1,20:0,50	-
Kvadratické formy a třídová tělesa I [NMAG455, přednáška]	08/19/20	1,38:0,74	-
Kvantová mechanika I [NTMF066, cvičení]	9/36/36	1,11:0,33	-
 	Počet	Předmět	Vyučující
Kvantová mechanika I [NTMF066, přednáška]	11/36/36	1,18:0,40	-
Kvantová teorie I [NBCM110, cvičení]	14/30/32	1,21:0,43	-
Kvantová teorie I [NBCM110, přednáška]	14/31/32	1,21:0,43	-
Kvantová teorie pole I [NJSF145, cvičení]	05/19/19	1,80:0,84	-
Lineární algebra a geometrie 1 [NMAG101, cvičení]	62/251/251	1,81:0,97	-
Lineární algebra a geometrie 1 [NMAG101, přednáška]	66/251/251	1,42:0,68	-
Lineární algebra I [NMAF027, cvičení]	56/143/143	1,52:0,85	-
Lineární algebra I [NMAI057, cvičení]	64/202/202	1,81:0,83	-
Lineární algebra I [NMUM103, cvičení]	13/62/62	1,15:0,38	-
Lineární algebra I [NMAF027, přednáška]	60/143/143	1,67:0,91	-
Lineární algebra I [NMAI057, přednáška]	56/202/202	1,95:0,98	-
Lineární algebra I [NMUM103, přednáška]	12/60/62	1,42:0,67	-
Lineární regrese [NMSA407, cvičení]	20/43/43	1,85:0,81	-
Lineární regrese [NMSA407, přednáška]	17/43/43	2,00:0,94	-
Matematická analýza I [NMAF051, cvičení]	62/141/142	1,84:0,83	-
Matematická analýza I [NMAI054, cvičení]	58/204/204	1,74:0,93	-
Matematická analýza I [NMUM101, cvičení]	11/70/70	1,82:0,75	-
Matematická analýza I [NMAF051, přednáška]	58/141/142	2,16:1,01	-
Matematická analýza I [NMAI054, přednáška]	57/204/204	2,05:1,04	-
 	Počet	Předmět	Vyučující
Matematická analýza I [NMUM101, přednáška]	10/67/70	1,70:0,82	-
Matematická analýza III [NMAI056, cvičení]	08/25/25	2,00:0,76	-
Matematická analýza III [NMUM201, cvičení]	12/39/39	1,67:1,07	-
Matematická analýza III [NMAI056, přednáška]	09/25/25	1,89:0,93	-
Matematická analýza III [NMUM201, přednáška]	12/39/39	1,58:0,90	-
Matematická analýza V [NMUM401, cvičení]	05/28/28	2,40:1,14	-
Matematická analýza V [NMUM401, přednáška]	05/28/28	3,40:1,14	-
Matematická analýza 1 [NMMA101, cvičení]	50/184/185	1,48:0,74	-
Matematická analýza 1 [NMMA101, přednáška]	49/183/185	1,33:0,55	-
Matematická analýza 3 [NMMA201, cvičení]	31/83/83	1,42:0,72	-
Matematická analýza 3 [NMMA201, přednáška]	34/83/83	1,15:0,44	-
Matematická logika [NMAG331, přednáška]	18/36/36	1,56:0,86	-
Matematická statistika 1 [NMSA331, cvičení]	20/34/35	1,10:0,31	-
Matematická statistika 1 [NMSA331, přednáška]	20/34/35	1,15:0,37	-
Matematické dovednosti [NMAI069, cvičení]	44/138/138	1,75:0,78	-
Matematické metody v praxi [NMMA366, cvičení]	11/87/33	1,27:0,47	-
Matematické metody ve fyzice II [NUFY085, cvičení]	08/11/11	1,50:0,76	-
Matematické problémy nematematiků [NMAT100, cvičení]	37/339/113	1,19:0,46	-
Matematický proseminář I [NMUM161, cvičení]	64/181/183	1,70:0,94	-
 	Počet	Předmět	Vyučující
Matematika neživotního pojištění 1 [NMFM401, cvičení]	06/23/23	1,83:0,75	-
Matematika neživotního pojištění 1 [NMFM401, přednáška]	06/23/23	1,33:0,52	-
Matematika pro fyziky I [NMAF061, cvičení]	33/81/81	1,36:0,60	-
Matematika pro fyziky I [NMAF061, přednáška]	27/81/81	1,96:0,71	-
Matematika pro fyziky III [NMAF063, cvičení]	33/88/88	1,36:0,65	-
Matematika pro fyziky III [NMAF063, přednáška]	31/88/88	1,48:0,68	-
Matematika ve financích [NMFM331, cvičení]	08/25/25	1,75:0,89	-
Matematika ve financích [NMFM331, přednáška]	13/25/25	1,92:0,86	-
Matematika ve financích a pojišťovnictví [NMFM205, přednáška]	05/18/18	1,40:0,55	-
Mathematica pro začátečníky [NMIN203, cvičení]	06/20/20	1,17:0,41	-
Mechanika kontinua [NMMO401, přednáška]	05/26/13	1,40:0,89	-
Metoda konečných prvků 1 [NMNV405, cvičení]	07/15/17	2,00:1,00	-
Metoda konečných prvků 1 [NMNV405, přednáška]	07/16/17	1,86:0,90	-
Metody řešení matematických úloh [NMUM307, cvičení]	12/34/34	2,92:1,44	-
Moderní databázové koncepty [NDBI040, cvičení]	05/13/13	1,00:0,00	-
Náhodné procesy 2 [NMSA409, cvičení]	16/36/36	1,50:0,89	-
Náhodné procesy 2 [NMSA409, přednáška]	13/36/36	2,00:0,91	-
Nástroje pro vývoj software [NSWI154, cvičení]	9/46/46	1,67:1,12	-
Nelineární funkcionální analýza 1 [NMMA501, přednáška]	07/11/11	2,00:1,15	-
 	Počet	Předmět	Vyučující
Neuronové sítě [NAIL002, přednáška]	10/96/49	2,80:1,69	-
Neživotní pojištění 1 [NMFM303, přednáška]	06/19/19	2,17:1,17	-
Objektově orientované programování [NMIN201, cvičení]	12/60/30	1,25:0,62	-
Objektově orientované programování [NMIN201, přednáška]	12/60/30	1,25:0,62	-
Oborový seminář [NMSA401, cvičení]	06/22/22	1,67:0,52	-
Odborné soustředění ÚTF [NTMF100, cvičení]	8/82/44	1,25:0,46	-
Ochrana informací I [NSWI089, přednáška]	19/94/94	2,47:1,35	-
Okruhy a moduly [NMAG333, cvičení]	09/16/16	2,89:1,05	-
Okruhy a moduly [NMAG333, přednáška]	10/16/16	1,90:0,57	-
Operační systémy [NSWI004, cvičení]	11/39/39	2,36:1,36	-
Operační systémy [NSWI004, přednáška]	13/39/39	1,77:0,83	-
Optika krok za krokem [NUFY113, cvičení]	05/16/08	1,40:0,55	-
Organizace a zpracování dat I [NDBI007, cvičení]	05/23/23	1,60:0,55	-
Organizace a zpracování dat I [NDBI007, přednáška]	05/23/23	2,20:0,45	-
Parciální diferenciální rovnice 1 [NMMA405, cvičení]	07/22/23	2,29:1,50	-
Parciální diferenciální rovnice 1 [NMMA405, přednáška]	07/22/23	1,71:0,76	-
Pedagogicko-didaktická propedeutika fyziky I [NUFY115, cvičení]	06/23/13	1,00:0,00	-
Pedagogika I [NPED034, přednáška]	5/38/38	3,40:1,52	-
Počítačové dovednosti [NSWI165, cvičení]	38/192/126	2,11:1,03	-
 	Počet	Předmět	Vyučující
Pojišťovací právo [NMFM305, přednáška]	06/18/18	2,00:1,26	-
Pokročilé partie finančního managementu [NMFM507, přednáška]	05/10/10	2,60:0,89	-
Praktický úvod do elektroniky [NUFY082, cvičení]	11/31/31	1,36:0,50	-
Praktikum z pravděpodobnostních metod [NMAI165, cvičení]	9/40/42	1,89:0,93	-
Praktikum z programování pro začátečníky [NMIN161, cvičení]	21/48/48	1,38:0,67	-
Praktikum z vývoje počítačových her [NSWI159, cvičení]	07/25/26	1,57:0,79	-
Pravděpodobnost a statistika [NMAI059, cvičení]	50/152/154	2,02:0,94	-
Pravděpodobnost a statistika [NMAI059, přednáška]	34/152/154	2,26:1,08	-
Pravděpodobnostní metody [NMAI060, přednáška]	18/104/104	2,72:1,02	-
Principy distribuovaných systémů [NSWI035, přednáška]	08/27/27	1,75:0,71	-
Principy počítačů [NSWI120, přednáška]	62/224/224	1,56:1,02	-
Principy překladačů [NSWI098, cvičení]	12/62/62	1,83:0,83	-
Principy překladačů [NSWI098, přednáška]	13/62/62	1,69:0,85	-
Problémy současné fyziky I [NOFY047, cvičení]	16/37/37	1,38:0,72	-
Procvičovací seminář z Fyziky I [NOFY071, cvičení]	42/282/94	1,71:0,86	-
Programování I [NPRG030, cvičení]	64/250/231	1,55:0,85	-
Programování I [NPRG030, přednáška]	56/230/231	1,63:0,80	-
Programování pro fyziky [NOFY056, cvičení]	55/138/138	1,40:0,66	-
